state,uf,poa_kwhm2day
ACRE,AC,4.81
ALAGOAS,AL,5.62
AMAPA,AP,4.73
AMAZONAS,AM,4.59
BAHIA,BA,5.82
CEARA,CE,5.78
DISTRITO FEDERAL,DF,5.54
ESPIRITO SANTO,ES,5.20
GOIAS,GO,5.66
MARANHAO,MA,5.37
MATO GROSSO,MT,5.67
MATO GROSSO DO SUL,MS,5.59
MINAS GERAIS,MG,5.62
PARA,PA,4.84
PARAIBA,PB,5.65
PARANA,PR,5.12
PERNAMBUCO,PE,5.65
PIAUI,PI,5.80
RIO DE JANEIRO,RJ,5.35
RIO GRANDE DO NORTE,RN,5.66
RIO GRANDE DO SUL,RS,5.08
RONDONIA,RO,5.03
RORAIMA,RR,5.38
SANTA CATARINA,SC,5.02
SAO PAULO,SP,5.24
SERGIPE,SE,5.67
TOCANTINS,TO,5.70
